winner,winner_score,loser,loser_score
blitz,70,RdeepBot,10
RdeepBot,69,blitz,0
blitz,67,RdeepBot,60
RdeepBot,66,blitz,0
RdeepBot,73,blitz,40
RdeepBot,73,blitz,0
blitz,66,RdeepBot,40
blitz,69,RdeepBot,51
RdeepBot,70,blitz,26
RdeepBot,66,blitz,0
RdeepBot,75,blitz,20
RdeepBot,75,blitz,0
blitz,61,RdeepBot,59
RdeepBot,69,blitz,6
blitz,74,RdeepBot,60
RdeepBot,70,blitz,0
blitz,78,RdeepBot,28
blitz,71,RdeepBot,55
RdeepBot,67,blitz,34
RdeepBot,73,blitz,20
blitz,69,RdeepBot,51
RdeepBot,66,blitz,20
RdeepBot,90,blitz,28
RdeepBot,74,blitz,25
RdeepBot,72,blitz,48
RdeepBot,66,blitz,13
RdeepBot,75,blitz,34
RdeepBot,68,blitz,45
RdeepBot,72,blitz,14
blitz,74,RdeepBot,45
RdeepBot,68,blitz,34
RdeepBot,67,blitz,31
RdeepBot,72,blitz,14
RdeepBot,87,blitz,42
blitz,93,RdeepBot,62
blitz,79,RdeepBot,54
RdeepBot,75,blitz,6
RdeepBot,73,blitz,39
blitz,65,RdeepBot,55
RdeepBot,79,blitz,0
RdeepBot,70,blitz,23
RdeepBot,67,blitz,26
blitz,68,RdeepBot,34
RdeepBot,68,blitz,0
RdeepBot,74,blitz,0
RdeepBot,66,blitz,33
blitz,59,RdeepBot,61
blitz,58,RdeepBot,62
blitz,73,RdeepBot,47
RdeepBot,66,blitz,6
RdeepBot,67,blitz,21
RdeepBot,76,blitz,0
blitz,73,RdeepBot,33
blitz,74,RdeepBot,0
RdeepBot,73,blitz,50
RdeepBot,79,blitz,19
RdeepBot,76,blitz,0
RdeepBot,70,blitz,13
RdeepBot,60,blitz,60
RdeepBot,74,blitz,6
RdeepBot,69,blitz,51
RdeepBot,66,blitz,0
RdeepBot,77,blitz,6
blitz,70,RdeepBot,25
blitz,72,RdeepBot,48
RdeepBot,79,blitz,5
RdeepBot,69,blitz,0
RdeepBot,74,blitz,7
blitz,66,RdeepBot,26
blitz,67,RdeepBot,32
RdeepBot,68,blitz,0
RdeepBot,80,blitz,20
RdeepBot,70,blitz,26
RdeepBot,78,blitz,0
RdeepBot,68,blitz,0
RdeepBot,69,blitz,7
RdeepBot,66,blitz,14
blitz,74,RdeepBot,34
RdeepBot,72,blitz,0
RdeepBot,83,blitz,0
RdeepBot,95,blitz,7
RdeepBot,68,blitz,13
RdeepBot,68,blitz,37
RdeepBot,67,blitz,6
RdeepBot,104,blitz,49
RdeepBot,93,blitz,28
RdeepBot,73,blitz,19
blitz,67,RdeepBot,46
blitz,62,RdeepBot,58
RdeepBot,107,blitz,41
RdeepBot,66,blitz,13
RdeepBot,73,blitz,34
RdeepBot,72,blitz,28
blitz,68,RdeepBot,32
RdeepBot,73,blitz,0
RdeepBot,80,blitz,14
RdeepBot,74,blitz,0
blitz,94,RdeepBot,18
RdeepBot,67,blitz,11
blitz,68,RdeepBot,39
RdeepBot,69,blitz,0
blitz,67,RdeepBot,11
RdeepBot,75,blitz,12
RdeepBot,82,blitz,0
RdeepBot,59,blitz,61
RdeepBot,75,blitz,13
RdeepBot,76,blitz,39
blitz,66,RdeepBot,62
RdeepBot,77,blitz,13
RdeepBot,87,blitz,15
RdeepBot,78,blitz,0
blitz,81,RdeepBot,0
blitz,71,RdeepBot,27
blitz,76,RdeepBot,39
RdeepBot,62,blitz,58
RdeepBot,67,blitz,0
RdeepBot,67,blitz,15
RdeepBot,79,blitz,28
RdeepBot,69,blitz,0
blitz,109,RdeepBot,15
blitz,75,RdeepBot,21
RdeepBot,96,blitz,0
RdeepBot,67,blitz,53
blitz,77,RdeepBot,21
RdeepBot,71,blitz,37
blitz,64,RdeepBot,56
blitz,69,RdeepBot,39
RdeepBot,71,blitz,22
RdeepBot,69,blitz,14
RdeepBot,105,blitz,21
RdeepBot,70,blitz,34
RdeepBot,73,blitz,14
RdeepBot,67,blitz,0
blitz,75,RdeepBot,6
RdeepBot,71,blitz,43
RdeepBot,77,blitz,0
blitz,67,RdeepBot,60
RdeepBot,82,blitz,25
RdeepBot,79,blitz,27
RdeepBot,75,blitz,0
RdeepBot,75,blitz,22
RdeepBot,60,blitz,60
RdeepBot,69,blitz,0
RdeepBot,67,blitz,60
RdeepBot,71,blitz,0
RdeepBot,67,blitz,0
blitz,73,RdeepBot,20
RdeepBot,68,blitz,0
RdeepBot,68,blitz,0
RdeepBot,66,blitz,22
blitz,65,RdeepBot,55
RdeepBot,61,blitz,59
RdeepBot,75,blitz,0
blitz,61,RdeepBot,59
RdeepBot,74,blitz,32
RdeepBot,66,blitz,14
RdeepBot,67,blitz,0
RdeepBot,75,blitz,7
RdeepBot,74,blitz,5
RdeepBot,68,blitz,7
RdeepBot,79,blitz,11
blitz,62,RdeepBot,58
blitz,59,RdeepBot,61
RdeepBot,68,blitz,12
RdeepBot,73,blitz,0
RdeepBot,92,blitz,0
blitz,56,RdeepBot,64
RdeepBot,72,blitz,48
RdeepBot,68,blitz,0
RdeepBot,76,blitz,0
RdeepBot,70,blitz,4
RdeepBot,66,blitz,0
blitz,75,RdeepBot,40
RdeepBot,74,blitz,0
RdeepBot,85,blitz,34
RdeepBot,66,blitz,0
blitz,70,RdeepBot,50
RdeepBot,81,blitz,0
RdeepBot,77,blitz,6
RdeepBot,76,blitz,12
RdeepBot,76,blitz,13
blitz,61,RdeepBot,59
RdeepBot,71,blitz,34
RdeepBot,76,blitz,0
RdeepBot,76,blitz,0
blitz,70,RdeepBot,38
RdeepBot,60,blitz,60
blitz,67,RdeepBot,26
RdeepBot,66,blitz,62
RdeepBot,75,blitz,0
RdeepBot,73,blitz,40
RdeepBot,75,blitz,14
RdeepBot,76,blitz,0
RdeepBot,59,blitz,61
blitz,73,RdeepBot,40
RdeepBot,67,blitz,27
blitz,59,RdeepBot,61
RdeepBot,75,blitz,18
blitz,67,RdeepBot,60
RdeepBot,67,blitz,6
blitz,69,RdeepBot,51
blitz,68,RdeepBot,52
RdeepBot,73,blitz,28
RdeepBot,76,blitz,0
RdeepBot,67,blitz,32
blitz,66,RdeepBot,52
blitz,78,RdeepBot,62
RdeepBot,76,blitz,0
RdeepBot,76,blitz,14
RdeepBot,68,blitz,0
RdeepBot,64,blitz,56
RdeepBot,68,blitz,0
RdeepBot,66,blitz,42
blitz,78,RdeepBot,42
RdeepBot,67,blitz,0
RdeepBot,67,blitz,11
RdeepBot,73,blitz,35
RdeepBot,73,blitz,47
RdeepBot,83,blitz,7
RdeepBot,68,blitz,45
RdeepBot,68,blitz,21
RdeepBot,76,blitz,13
RdeepBot,98,blitz,21
RdeepBot,72,blitz,0
RdeepBot,68,blitz,35
RdeepBot,69,blitz,0
RdeepBot,75,blitz,0
blitz,71,RdeepBot,49
blitz,66,RdeepBot,41
RdeepBot,66,blitz,0
RdeepBot,60,blitz,60
RdeepBot,73,blitz,0
RdeepBot,76,blitz,31
RdeepBot,80,blitz,60
RdeepBot,74,blitz,13
RdeepBot,66,blitz,0
RdeepBot,72,blitz,13
RdeepBot,95,blitz,31
RdeepBot,81,blitz,0
RdeepBot,74,blitz,46
RdeepBot,77,blitz,0
RdeepBot,73,blitz,14
RdeepBot,74,blitz,12
blitz,74,RdeepBot,12
RdeepBot,92,blitz,6
blitz,66,RdeepBot,34
RdeepBot,66,blitz,0
RdeepBot,94,blitz,26
blitz,68,RdeepBot,62
RdeepBot,75,blitz,0
RdeepBot,79,blitz,61
RdeepBot,67,blitz,0
blitz,58,RdeepBot,62
RdeepBot,66,blitz,0
blitz,73,RdeepBot,33
RdeepBot,76,blitz,14
RdeepBot,84,blitz,0
blitz,73,RdeepBot,34
RdeepBot,76,blitz,0
blitz,86,RdeepBot,18
RdeepBot,56,blitz,64
RdeepBot,59,blitz,61
RdeepBot,61,blitz,59
RdeepBot,69,blitz,0
blitz,61,RdeepBot,59
RdeepBot,71,blitz,0
blitz,67,RdeepBot,40
RdeepBot,82,blitz,5
RdeepBot,75,blitz,18
RdeepBot,88,blitz,22
blitz,66,RdeepBot,5
RdeepBot,76,blitz,0
RdeepBot,75,blitz,20
RdeepBot,78,blitz,14
blitz,59,RdeepBot,61
RdeepBot,73,blitz,6
RdeepBot,89,blitz,0
blitz,74,RdeepBot,55
RdeepBot,66,blitz,27
RdeepBot,68,blitz,18
RdeepBot,75,blitz,51
RdeepBot,67,blitz,48
RdeepBot,68,blitz,26
RdeepBot,68,blitz,0
RdeepBot,67,blitz,8
RdeepBot,74,blitz,0
RdeepBot,67,blitz,47
RdeepBot,75,blitz,0
RdeepBot,68,blitz,45
RdeepBot,66,blitz,0
RdeepBot,74,blitz,0
RdeepBot,76,blitz,22
RdeepBot,78,blitz,34
RdeepBot,74,blitz,0
RdeepBot,73,blitz,55
RdeepBot,74,blitz,46
RdeepBot,68,blitz,8
RdeepBot,67,blitz,14
RdeepBot,74,blitz,28
RdeepBot,69,blitz,12
RdeepBot,67,blitz,0
blitz,80,RdeepBot,0
blitz,65,RdeepBot,55
RdeepBot,73,blitz,0
RdeepBot,66,blitz,13
RdeepBot,66,blitz,0
RdeepBot,66,blitz,7
RdeepBot,72,blitz,15
RdeepBot,69,blitz,0
RdeepBot,73,blitz,14
blitz,69,RdeepBot,47
RdeepBot,93,blitz,14
blitz,74,RdeepBot,46
RdeepBot,76,blitz,15
blitz,86,RdeepBot,40
blitz,68,RdeepBot,52
RdeepBot,70,blitz,7
RdeepBot,76,blitz,0
RdeepBot,69,blitz,0
RdeepBot,66,blitz,41
RdeepBot,57,blitz,63
RdeepBot,73,blitz,47
blitz,71,RdeepBot,63
RdeepBot,74,blitz,15
RdeepBot,68,blitz,12
blitz,69,RdeepBot,25
blitz,58,RdeepBot,62
RdeepBot,69,blitz,14
RdeepBot,70,blitz,14
RdeepBot,69,blitz,13
RdeepBot,60,blitz,60
RdeepBot,67,blitz,53
blitz,61,RdeepBot,59
RdeepBot,67,blitz,0
blitz,57,RdeepBot,63
RdeepBot,78,blitz,0
blitz,68,RdeepBot,47
RdeepBot,76,blitz,0
blitz,71,RdeepBot,6
RdeepBot,73,blitz,18
RdeepBot,67,blitz,48
blitz,57,RdeepBot,63
RdeepBot,92,blitz,15
blitz,66,RdeepBot,21
RdeepBot,75,blitz,0
RdeepBot,68,blitz,15
RdeepBot,74,blitz,46
RdeepBot,67,blitz,40
blitz,58,RdeepBot,62
RdeepBot,68,blitz,0
RdeepBot,72,blitz,33
blitz,78,RdeepBot,27
blitz,59,RdeepBot,61
RdeepBot,76,blitz,0
RdeepBot,67,blitz,0
blitz,72,RdeepBot,15
RdeepBot,80,blitz,0
blitz,59,RdeepBot,61
blitz,66,RdeepBot,12
RdeepBot,66,blitz,40
RdeepBot,75,blitz,0
RdeepBot,78,blitz,30
RdeepBot,73,blitz,21
blitz,66,RdeepBot,54
RdeepBot,70,blitz,6
RdeepBot,70,blitz,0
RdeepBot,89,blitz,14
blitz,76,RdeepBot,45
blitz,62,RdeepBot,58
RdeepBot,77,blitz,0
RdeepBot,75,blitz,39
RdeepBot,67,blitz,0
RdeepBot,67,blitz,0
blitz,72,RdeepBot,13
RdeepBot,68,blitz,0
RdeepBot,68,blitz,26
RdeepBot,77,blitz,4
RdeepBot,70,blitz,0
RdeepBot,76,blitz,25
blitz,66,RdeepBot,62
RdeepBot,70,blitz,4
RdeepBot,70,blitz,15
RdeepBot,66,blitz,42
blitz,69,RdeepBot,14
RdeepBot,70,blitz,38
RdeepBot,69,blitz,13
RdeepBot,72,blitz,27
RdeepBot,76,blitz,0
RdeepBot,67,blitz,47
RdeepBot,72,blitz,11
RdeepBot,71,blitz,14
blitz,76,RdeepBot,34
RdeepBot,69,blitz,6
RdeepBot,70,blitz,0
blitz,73,RdeepBot,34
RdeepBot,79,blitz,28
blitz,67,RdeepBot,60
RdeepBot,81,blitz,39
RdeepBot,74,blitz,7
